"";"y";"x";"count"
"1231";31;13;1
"1232";32;13;0
"1233";33;13;0
"1234";34;13;0
"1235";35;13;1
"1236";36;13;1
"1237";37;13;2
"1238";38;13;0
"1239";39;13;1
"1240";40;13;0
"1241";41;13;0
"1242";42;13;1
"1243";43;13;1
"1244";44;13;0
"1245";45;13;0
"1246";46;13;1
"1247";47;13;2
"1248";48;13;0
"1249";49;13;0
"1250";50;13;1
"1251";51;13;0
"1252";52;13;0
"1253";53;13;0
"1254";54;13;2
"1255";55;13;0
"1256";56;13;2
"1257";57;13;2
"1258";58;13;1
"1259";59;13;1
"1260";60;13;4
"1261";61;13;4
"1262";62;13;3
"1263";63;13;6
"1264";64;13;4
"1265";65;13;5
"1266";66;13;7
"1267";67;13;6
"1268";68;13;5
"1269";69;13;8
"1270";70;13;9
"1271";71;13;4
"1272";72;13;6
"1273";73;13;6
"1274";74;13;3
"1275";75;13;3
"1276";76;13;4
"1277";77;13;5
"1278";78;13;5
"1279";79;13;5
"1280";80;13;3
"1281";81;13;0
"1282";82;13;0
"1283";83;13;0
"1284";84;13;0
"1285";85;13;0
"1286";86;13;1
"1287";87;13;0
"1288";88;13;6
"1289";89;13;7
"1290";90;13;1
"1291";91;13;0
"1292";92;13;3
"1293";93;13;0
"1294";94;13;0
"1295";95;13;0
"1296";96;13;1
"1297";97;13;0
"1298";98;13;0
"1299";99;13;0
"1300";100;13;0
"1301";1;14;3
"1302";2;14;0
"1303";3;14;3
"1304";4;14;2
"1305";5;14;1
"1306";6;14;0
"1307";7;14;0
"1308";8;14;1
"1309";9;14;0
"1310";10;14;0
"1311";11;14;0
"1312";12;14;0
"1313";13;14;0
"1314";14;14;1
"1315";15;14;0
"1316";16;14;1
"1317";17;14;5
"1318";18;14;0
"1319";19;14;0
"1320";20;14;1
"1321";21;14;2
"1322";22;14;0
"1323";23;14;0
"1324";24;14;0
"1325";25;14;3
"1326";26;14;1
"1327";27;14;0
"1328";28;14;0
"1329";29;14;1
"1330";30;14;0
"1331";31;14;0
"1332";32;14;0
"1333";33;14;0
"1334";34;14;0
"1335";35;14;2
"1336";36;14;4
"1337";37;14;3
"1338";38;14;1
"1339";39;14;1
"1340";40;14;5
"1341";41;14;1
"1342";42;14;0
"1343";43;14;0
"1344";44;14;1
"1345";45;14;0
"1346";46;14;1
"1347";47;14;1
"1348";48;14;0
"1349";49;14;1
"1350";50;14;2
"1351";51;14;0
"1352";52;14;4
"1353";53;14;0
"1354";54;14;0
"1355";55;14;1
"1356";56;14;0
"1357";57;14;0
"1358";58;14;0
"1359";59;14;1
"1360";60;14;3
"1361";61;14;2
"1362";62;14;6
"1363";63;14;4
"1364";64;14;1
"1365";65;14;8
"1366";66;14;3
"1367";67;14;10
"1368";68;14;14
"1369";69;14;7
"1370";70;14;8
"1371";71;14;6
"1372";72;14;2
"1373";73;14;6
"1374";74;14;3
"1375";75;14;0
"1376";76;14;3
"1377";77;14;2
"1378";78;14;3
"1379";79;14;3
"1380";80;14;1
"1381";81;14;0
"1382";82;14;0
"1383";83;14;1
"1384";84;14;1
"1385";85;14;3
"1386";86;14;1
"1387";87;14;4
"1388";88;14;4
"1389";89;14;6
"1390";90;14;4
"1391";91;14;8
"1392";92;14;2
"1393";93;14;2
"1394";94;14;1
"1395";95;14;0
"1396";96;14;2
"1397";97;14;2
"1398";98;14;0
"1399";99;14;2
"1400";100;14;0
"1401";1;15;0
"1402";2;15;0
"1403";3;15;0
"1404";4;15;0
"1405";5;15;0
"1406";6;15;0
"1407";7;15;1
"1408";8;15;2
"1409";9;15;1
"1410";10;15;0
"1411";11;15;0
"1412";12;15;0
"1413";13;15;0
"1414";14;15;1
"1415";15;15;1
"1416";16;15;1
"1417";17;15;4
"1418";18;15;3
"1419";19;15;1
"1420";20;15;2
"1421";21;15;2
"1422";22;15;0
"1423";23;15;0
"1424";24;15;0
"1425";25;15;1
"1426";26;15;2
"1427";27;15;0
"1428";28;15;1
"1429";29;15;0
"1430";30;15;0
"1431";31;15;0
"1432";32;15;0
"1433";33;15;0
"1434";34;15;0
"1435";35;15;4
"1436";36;15;3
"1437";37;15;2
"1438";38;15;5
"1439";39;15;0
"1440";40;15;0
"1441";41;15;1
"1442";42;15;0
"1443";43;15;1
"1444";44;15;2
"1445";45;15;0
"1446";46;15;0
"1447";47;15;1
"1448";48;15;1
"1449";49;15;1
"1450";50;15;1
"1451";51;15;1
"1452";52;15;1
"1453";53;15;1
"1454";54;15;1
"1455";55;15;0
"1456";56;15;1
"1457";57;15;0
"1458";58;15;1
"1459";59;15;0
"1460";60;15;0
"1461";61;15;1
"1462";62;15;4
"1463";63;15;7
"1464";64;15;5
"1465";65;15;3
"1466";66;15;3
"1467";67;15;5
"1468";68;15;9
"1469";69;15;13
"1470";70;15;9
"1471";71;15;4
"1472";72;15;6
"1473";73;15;5
"1474";74;15;6
"1475";75;15;4
"1476";76;15;2
"1477";77;15;1
"1478";78;15;0
"1479";79;15;0
"1480";80;15;0
"1481";81;15;0
"1482";82;15;3
"1483";83;15;4
"1484";84;15;0
"1485";85;15;2
"1486";86;15;4
"1487";87;15;1
"1488";88;15;8
"1489";89;15;9
"1490";90;15;6
"1491";91;15;4
"1492";92;15;2
